product_id,sku,product_name,category,brand,unit_cost,list_price,is_active,created_at
PROD0001,ELE-HAN-0001,HanseTech Electronics Item 1,Electronics,HanseTech,7.53,12.07,True,2024-06-30
PROD0002,FAS-NOV-0002,Nova Fashion Item 2,Fashion,Nova,32.32,43.67,False,2024-11-05
PROD0003,BOO-BER-0003,Bergmann Books Item 3,Books,Bergmann,177.41,435.69,True,2024-05-16
PROD0004,FAS-BER-0004,Bergmann Fashion Item 4,Fashion,Bergmann,160.6,234.81,True,2024-09-08
PROD0005,BEA-NOV-0005,Nova Beauty Item 5,Beauty,Nova,126.71,281.9,True,2024-08-09
PROD0006,SPO-HAN-0006,HanseTech Sports Item 6,Sports,HanseTech,45.81,60.33,True,2024-04-15
PROD0007,FAS-NOR-0007,Nordlicht Fashion Item 7,Fashion,Nordlicht,67.51,123.36,True,2024-01-19
PROD0008,GAR-MIR-0008,Mira Garden Item 8,Garden,Mira,21.07,32.22,True,2024-11-11
PROD0009,GAR-ALP-0009,Alpenwerk Garden Item 9,Garden,Alpenwerk,58.27,104.1,True,2024-01-19
PROD0010,SPO-ALP-0010,Alpenwerk Sports Item 10,Sports,Alpenwerk,116.97,207.41,True,2024-06-10
PROD0011,BOO-URB-0011,UrbanFox Books Item 11,Books,UrbanFox,82.46,132.39,True,2024-08-29
PROD0012,SPO-BER-0012,Bergmann Sports Item 12,Sports,Bergmann,14.85,33.64,True,2024-11-09
PROD0013,BOO-SOL-0013,Solaro Books Item 13,Books,Solaro,76.86,174.57,True,2024-11-21
PROD0014,TOY-SOL-0014,Solaro Toys Item 14,Toys,Solaro,77.68,153.26,True,2024-04-23
PROD0015,BEA-KLA-0015,Klara Beauty Item 15,Beauty,Klara,56.6,100.92,True,2024-12-05
PROD0016,FAS-ALP-0016,Alpenwerk Fashion Item 16,Fashion,Alpenwerk,171.07,317.54,False,2024-09-28
PROD0017,BEA-MIR-0017,Mira Beauty Item 17,Beauty,Mira,26.21,47.74,False,2024-05-14
PROD0018,BEA-URB-0018,UrbanFox Beauty Item 18,Beauty,UrbanFox,150.8,241.0,True,2024-11-18
PROD0019,HOM-NOV-0019,Nova Home Item 19,Home,Nova,101.92,203.36,True,2024-03-31
PROD0020,GAR-NOR-0020,Nordlicht Garden Item 20,Garden,Nordlicht,142.43,297.84,True,2024-05-22
PROD0021,HOM-NOV-0021,Nova Home Item 21,Home,Nova,30.34,61.13,True,2024-11-01
PROD0022,HOM-BER-0022,Bergmann Home Item 22,Home,Bergmann,141.2,326.28,True,2024-06-29
PROD0023,TOY-HAN-0023,HanseTech Toys Item 23,Toys,HanseTech,71.42,136.09,True,2024-12-03
PROD0024,FAS-HAN-0024,HanseTech Fashion Item 24,Fashion,HanseTech,74.92,156.18,True,2024-05-31
PROD0025,ELE-NOV-0025,Nova Electronics Item 25,Electronics,Nova,160.57,272.57,True,2024-04-23
PROD0026,SPO-GRE-0026,GreenLeaf Sports Item 26,Sports,GreenLeaf,7.56,17.79,True,2024-08-01
PROD0027,GAR-ALP-0027,Alpenwerk Garden Item 27,Garden,Alpenwerk,175.16,272.85,True,2024-05-10
PROD0028,BOO-HAN-0028,HanseTech Books Item 28,Books,HanseTech,132.27,273.37,True,2024-05-10
PROD0029,BEA-NOV-0029,Nova Beauty Item 29,Beauty,Nova,134.41,305.83,True,2024-11-24
PROD0030,FAS-ALP-0030,Alpenwerk Fashion Item 30,Fashion,Alpenwerk,58.76,113.65,True,2024-03-29
PROD0031,ELE-URB-0031,UrbanFox Electronics Item 31,Electronics,UrbanFox,37.93,90.06,True,2024-08-17
PROD0032,ELE-KLA-0032,Klara Electronics Item 32,Electronics,Klara,12.9,22.4,True,2024-06-17
PROD0033,GAR-SOL-0033,Solaro Garden Item 33,Garden,Solaro,73.86,184.37,True,2024-08-21
PROD0034,BOO-KLA-0034,Klara Books Item 34,Books,Klara,108.55,161.71,True,2024-02-26
PROD0035,BOO-GRE-0035,GreenLeaf Books Item 35,Books,GreenLeaf,32.78,80.56,True,2024-01-05
PROD0036,HOM-HAN-0036,HanseTech Home Item 36,Home,HanseTech,8.83,11.63,True,2024-09-04
PROD0037,BEA-MIR-0037,Mira Beauty Item 37,Beauty,Mira,123.27,198.87,True,2024-12-12
PROD0038,ELE-KLA-0038,Klara Electronics Item 38,Electronics,Klara,164.43,349.24,True,2024-12-18
PROD0039,BEA-HAN-0039,HanseTech Beauty Item 39,Beauty,HanseTech,111.07,280.24,True,2024-01-28
PROD0040,SPO-NOV-0040,Nova Sports Item 40,Sports,Nova,161.61,387.81,True,2024-09-02
PROD0041,GAR-HAN-0041,HanseTech Garden Item 41,Garden,HanseTech,123.19,291.08,True,2024-10-31
PROD0042,ELE-SOL-0042,Solaro Electronics Item 42,Electronics,Solaro,179.9,459.6,True,2024-03-10
PROD0043,SPO-HAN-0043,HanseTech Sports Item 43,Sports,HanseTech,124.46,236.52,True,2024-08-03
PROD0044,BOO-HAN-0044,HanseTech Books Item 44,Books,HanseTech,49.96,110.41,True,2024-07-23
PROD0045,BEA-URB-0045,UrbanFox Beauty Item 45,Beauty,UrbanFox,95.04,149.63,True,2024-02-19
PROD0046,TOY-GRE-0046,GreenLeaf Toys Item 46,Toys,GreenLeaf,123.81,275.32,True,2024-07-24
PROD0047,SPO-NOV-0047,Nova Sports Item 47,Sports,Nova,75.21,168.82,True,2024-03-05
PROD0048,BEA-GRE-0048,GreenLeaf Beauty Item 48,Beauty,GreenLeaf,131.87,204.42,True,2024-04-23
PROD0049,BOO-SOL-0049,Solaro Books Item 49,Books,Solaro,56.83,84.08,True,2024-03-12
PROD0050,FAS-HAN-0050,HanseTech Fashion Item 50,Fashion,HanseTech,21.18,30.13,True,2024-03-11
PROD0051,FAS-GRE-0051,GreenLeaf Fashion Item 51,Fashion,GreenLeaf,119.18,184.73,True,2024-07-18
PROD0052,TOY-GRE-0052,GreenLeaf Toys Item 52,Toys,GreenLeaf,69.42,141.65,True,2024-10-23
PROD0053,GAR-NOR-0053,Nordlicht Garden Item 53,Garden,Nordlicht,156.49,318.9,False,2024-11-16
PROD0054,GAR-MIR-0054,Mira Garden Item 54,Garden,Mira,92.08,222.94,True,2024-07-23
PROD0055,TOY-NOR-0055,Nordlicht Toys Item 55,Toys,Nordlicht,157.27,228.6,False,2024-06-30
PROD0056,TOY-BER-0056,Bergmann Toys Item 56,Toys,Bergmann,161.14,416.06,True,2024-09-21
PROD0057,HOM-KLA-0057,Klara Home Item 57,Home,Klara,62.54,161.48,True,2024-11-23
PROD0058,ELE-KLA-0058,Klara Electronics Item 58,Electronics,Klara,52.14,118.75,True,2024-10-02
PROD0059,GAR-ALP-0059,Alpenwerk Garden Item 59,Garden,Alpenwerk,26.78,49.15,True,2024-05-17
PROD0060,GAR-NOV-0060,Nova Garden Item 60,Garden,Nova,4.82,9.5,True,2024-12-15
PROD0061,BOO-SOL-0061,Solaro Books Item 61,Books,Solaro,37.54,81.22,True,2024-08-17
PROD0062,BEA-GRE-0062,GreenLeaf Beauty Item 62,Beauty,GreenLeaf,58.93,81.83,True,2024-07-19
PROD0063,FAS-ALP-0063,Alpenwerk Fashion Item 63,Fashion,Alpenwerk,149.0,246.23,True,2024-03-31
PROD0064,BOO-NOV-0064,Nova Books Item 64,Books,Nova,160.28,415.75,True,2024-04-16
PROD0065,BOO-MIR-0065,Mira Books Item 65,Books,Mira,33.02,81.7,True,2024-12-13
PROD0066,BEA-MIR-0066,Mira Beauty Item 66,Beauty,Mira,131.98,188.35,True,2024-02-25
PROD0067,FAS-ALP-0067,Alpenwerk Fashion Item 67,Fashion,Alpenwerk,68.52,145.83,True,2024-01-30
PROD0068,SPO-SOL-0068,Solaro Sports Item 68,Sports,Solaro,113.67,233.23,True,2024-10-28
PROD0069,ELE-NOR-0069,Nordlicht Electronics Item 69,Electronics,Nordlicht,125.4,227.31,True,2024-03-17
PROD0070,SPO-KLA-0070,Klara Sports Item 70,Sports,Klara,127.53,194.79,True,2024-12-18
PROD0071,SPO-NOV-0071,Nova Sports Item 71,Sports,Nova,120.45,258.29,True,2024-02-16
PROD0072,FAS-NOV-0072,Nova Fashion Item 72,Fashion,Nova,150.19,209.01,True,2024-10-23
PROD0073,SPO-ALP-0073,Alpenwerk Sports Item 73,Sports,Alpenwerk,142.12,273.15,True,2024-08-10
PROD0074,BEA-GRE-0074,GreenLeaf Beauty Item 74,Beauty,GreenLeaf,127.8,210.71,True,2024-04-12
PROD0075,BEA-KLA-0075,Klara Beauty Item 75,Beauty,Klara,62.19,77.97,True,2024-10-27
PROD0076,GAR-URB-0076,UrbanFox Garden Item 76,Garden,UrbanFox,171.1,393.93,True,2024-11-01
PROD0077,SPO-MIR-0077,Mira Sports Item 77,Sports,Mira,84.39,216.83,True,2024-11-27
PROD0078,HOM-URB-0078,UrbanFox Home Item 78,Home,UrbanFox,157.85,378.92,True,2024-01-11
PROD0079,BOO-NOV-0079,Nova Books Item 79,Books,Nova,133.98,184.66,True,2024-11-29
PROD0080,ELE-URB-0080,UrbanFox Electronics Item 80,Electronics,UrbanFox,120.75,178.73,True,2024-05-12
PROD0081,SPO-ALP-0081,Alpenwerk Sports Item 81,Sports,Alpenwerk,69.58,119.17,True,2024-06-01
PROD0082,GAR-HAN-0082,HanseTech Garden Item 82,Garden,HanseTech,151.08,329.56,True,2024-05-21
PROD0083,FAS-ALP-0083,Alpenwerk Fashion Item 83,Fashion,Alpenwerk,27.32,60.94,False,2024-10-02
PROD0084,HOM-NOV-0084,Nova Home Item 84,Home,Nova,164.38,312.59,True,2024-05-12
PROD0085,FAS-BER-0085,Bergmann Fashion Item 85,Fashion,Bergmann,70.84,122.84,True,2024-01-07
PROD0086,FAS-KLA-0086,Klara Fashion Item 86,Fashion,Klara,165.99,232.8,True,2024-11-29
PROD0087,HOM-HAN-0087,HanseTech Home Item 87,Home,HanseTech,119.28,151.09,True,2024-03-29
PROD0088,BEA-GRE-0088,GreenLeaf Beauty Item 88,Beauty,GreenLeaf,95.36,207.8,True,2024-05-15
PROD0089,BEA-KLA-0089,Klara Beauty Item 89,Beauty,Klara,64.85,140.27,True,2024-03-12
PROD0090,ELE-NOR-0090,Nordlicht Electronics Item 90,Electronics,Nordlicht,117.24,171.39,True,2024-04-13
PROD0091,FAS-ALP-0091,Alpenwerk Fashion Item 91,Fashion,Alpenwerk,136.25,229.29,True,2024-08-02
PROD0092,ELE-SOL-0092,Solaro Electronics Item 92,Electronics,Solaro,43.2,91.52,True,2024-08-24
PROD0093,HOM-KLA-0093,Klara Home Item 93,Home,Klara,82.18,166.3,True,2024-04-11
PROD0094,GAR-GRE-0094,GreenLeaf Garden Item 94,Garden,GreenLeaf,24.89,47.82,True,2024-10-31
PROD0095,TOY-NOV-0095,Nova Toys Item 95,Toys,Nova,10.31,20.53,True,2024-02-17
PROD0096,SPO-SOL-0096,Solaro Sports Item 96,Sports,Solaro,102.97,219.71,True,2024-07-01
PROD0097,BOO-NOR-0097,Nordlicht Books Item 97,Books,Nordlicht,147.72,353.03,True,2024-02-09
PROD0098,GAR-GRE-0098,GreenLeaf Garden Item 98,Garden,GreenLeaf,130.0,182.51,True,2024-08-31
PROD0099,ELE-GRE-0099,GreenLeaf Electronics Item 99,Electronics,GreenLeaf,66.5,140.01,True,2024-03-17
PROD0100,BOO-ALP-0100,Alpenwerk Books Item 100,Books,Alpenwerk,12.06,17.75,True,2024-05-27
PROD0101,HOM-HAN-0101,HanseTech Home Item 101,Home,HanseTech,111.51,167.62,False,2024-06-04
PROD0102,BEA-KLA-0102,Klara Beauty Item 102,Beauty,Klara,149.12,224.77,True,2024-05-24
PROD0103,ELE-BER-0103,Bergmann Electronics Item 103,Electronics,Bergmann,25.69,63.04,True,2024-02-25
PROD0104,FAS-KLA-0104,Klara Fashion Item 104,Fashion,Klara,4.76,10.68,True,2024-05-15
PROD0105,GAR-SOL-0105,Solaro Garden Item 105,Garden,Solaro,141.47,350.67,True,2024-09-25
PROD0106,FAS-ALP-0106,Alpenwerk Fashion Item 106,Fashion,Alpenwerk,72.18,148.74,True,2024-04-08
PROD0107,TOY-NOV-0107,Nova Toys Item 107,Toys,Nova,176.39,438.59,True,2024-08-04
PROD0108,TOY-GRE-0108,GreenLeaf Toys Item 108,Toys,GreenLeaf,174.81,325.38,True,2024-05-25
PROD0109,SPO-SOL-0109,Solaro Sports Item 109,Sports,Solaro,155.48,343.77,False,2024-02-03
PROD0110,BEA-MIR-0110,Mira Beauty Item 110,Beauty,Mira,40.91,90.59,True,2024-01-13
PROD0111,FAS-URB-0111,UrbanFox Fashion Item 111,Fashion,UrbanFox,92.69,202.74,True,2024-10-24
PROD0112,BOO-SOL-0112,Solaro Books Item 112,Books,Solaro,88.55,178.9,True,2024-05-23
PROD0113,SPO-NOV-0113,Nova Sports Item 113,Sports,Nova,146.26,286.04,True,2024-10-09
PROD0114,ELE-NOR-0114,Nordlicht Electronics Item 114,Electronics,Nordlicht,39.18,88.65,True,2024-07-29
PROD0115,SPO-URB-0115,UrbanFox Sports Item 115,Sports,UrbanFox,151.73,331.12,True,2024-03-20
PROD0116,ELE-GRE-0116,GreenLeaf Electronics Item 116,Electronics,GreenLeaf,147.27,204.46,True,2024-03-10
PROD0117,BEA-SOL-0117,Solaro Beauty Item 117,Beauty,Solaro,72.44,140.52,True,2024-07-28
PROD0118,ELE-NOV-0118,Nova Electronics Item 118,Electronics,Nova,72.21,183.53,False,2024-07-15
PROD0119,ELE-NOR-0119,Nordlicht Electronics Item 119,Electronics,Nordlicht,134.89,205.59,True,2024-05-10
PROD0120,BEA-GRE-0120,GreenLeaf Beauty Item 120,Beauty,GreenLeaf,136.9,272.15,True,2024-09-14
